t_in,p_in,e_cond,e_boiler,styr_flow,specific_energy,anomaly
307.887,57894.7,7128.94,8748.33,4.40306,3606.0600200498684,0
307.887,60000.0,7128.94,8748.32,4.40306,3606.0600200498684,0
309.466,20000.0,7128.94,8730.15,4.40306,3601.7798708423106,0
309.466,22105.3,7128.94,8730.13,4.40306,3601.7798708423106,0
309.466,24210.5,7128.94,8730.12,4.40306,3601.7798708423106,0
309.466,26315.8,7128.94,8730.11,4.40306,3601.7798708423106,0
309.466,28421.1,7128.94,8730.09,4.40306,3601.7798708423106,0
309.466,30526.3,7128.94,8730.08,4.40306,3601.7798708423106,0
442.3104240630904,32631.6,7128.94,8730.06,4.40306,3241.6823683837624,1
309.466,34736.8,7128.94,8730.05,4.40306,3601.7798708423106,0
309.466,36842.1,7128.94,8730.03,4.40306,3601.7798708423106,0
309.466,38947.4,7128.94,8730.02,4.40306,3601.7798708423106,0
309.466,41052.6,7128.94,8730.0,4.40306,3601.7798708423106,0
309.466,43157.9,7128.94,8729.99,4.40306,3601.7798708423106,0
309.466,45263.2,7128.94,8729.98,4.40306,3601.7798708423106,0
309.466,47368.4,7128.94,8729.96,4.40306,3601.7798708423106,0
309.466,49473.7,7128.94,8729.95,4.40306,3601.7798708423106,0
309.466,51578.9,7128.94,8729.93,4.40306,3601.7798708423106,0
324.6263068394793,53684.2,7128.94,8729.92,4.40306,3560.6852696356464,1
309.466,55789.5,7128.94,8729.9,4.40306,3601.7798708423106,0
309.466,57894.7,7128.94,8729.89,4.40306,3601.7798708423106,0
309.466,60000.0,7128.94,8729.87,4.40306,3601.7798708423106,0
468.48771860058326,20000.0,7128.94,8711.64,4.40306,3170.7243402199592,1
311.045,22105.3,7128.94,8711.62,4.40306,3597.4997216347533,0
311.045,24210.5,7128.94,8711.61,4.40306,3597.4997216347533,0
311.045,26315.8,7128.94,8711.59,4.40306,3597.4997216347533,0
311.045,28421.1,7128.94,8711.58,4.40306,3597.4997216347533,0
311.045,30526.3,7128.94,8711.56,4.40306,3597.4997216347533,0
311.045,32631.6,7128.94,8711.55,4.40306,3597.4997216347533,0
311.045,34736.8,7128.94,8711.54,4.40306,3597.4997216347533,0
311.045,36842.1,7128.94,8711.52,4.40306,3597.4997216347533,0
311.045,38947.4,7128.94,8711.51,4.40306,3597.4997216347533,0
311.045,41052.6,7128.94,8711.49,4.40306,3597.4997216347533,0
311.045,43157.9,7128.94,8711.48,4.40306,3597.4997216347533,0
311.045,45263.2,7128.94,8711.46,4.40306,3597.4997216347533,0
311.045,47368.4,7128.94,8711.45,4.40306,3597.4997216347533,0
311.045,49473.7,7128.94,8711.44,4.40306,3597.4997216347533,0
311.045,51578.9,7128.94,8711.42,4.40306,3597.4997216347533,0
437.1446550633964,53684.2,7128.94,8711.41,4.40306,3255.685067617749,1
311.045,55789.5,7128.94,8711.39,4.40306,3597.4997216347533,0
311.045,57894.7,7128.94,8711.38,4.40306,3597.4997216347533,0
311.045,60000.0,7128.94,8711.36,4.40306,3597.4997216347533,0
312.624,20000.0,7128.94,8693.06,4.40306,3593.219572427196,0
312.624,22105.3,7128.94,8693.04,4.40306,3593.219572427196,0
312.624,24210.5,7128.94,8693.03,4.40306,3593.219572427196,0
312.624,26315.8,7128.94,8693.02,4.40306,3593.219572427196,0
312.624,28421.1,7128.94,8693.0,4.40306,3593.219572427196,0
312.624,30526.3,7128.94,8692.99,4.40306,3593.219572427196,0
312.624,32631.6,7128.94,8692.97,4.40306,3593.219572427196,0
312.624,34736.8,7128.94,8692.96,4.40306,3593.219572427196,0
312.624,36842.1,7128.94,8692.94,4.40306,3593.219572427196,0
